天次,主题,小组,序号,单词,词性,释义,认识(✓),不认识(✗),备注
第1天,学校与学习,校园场所,1,school,n.,学校,,,
第1天,学校与学习,校园场所,2,classroom,n.,教室,,,
第1天,学校与学习,校园场所,3,library,n.,图书馆,,,
第1天,学校与学习,校园场所,4,playground,n.,操场,,,
第1天,学校与学习,校园场所,5,office,n.,办公室,,,
第1天,学校与学习,校园场所,6,gate,n.,大门,,,
第1天,学校与学习,校园场所,7,building,n.,建筑物,,,
第1天,学校与学习,校园场所,8,floor,n.,楼层,,,
第1天,学校与学习,校园场所,9,blackboard,n.,黑板,,,
第1天,学校与学习,校园场所,10,computer,n.,电脑,,,
第1天,学校与学习,文具与书本,1,book,n.,书,,,
第1天,学校与学习,文具与书本,2,pen,n.,钢笔,,,
第1天,学校与学习,文具与书本,3,pencil,n.,铅笔,,,
第1天,学校与学习,文具与书本,4,ruler,n.,尺子,,,
第1天,学校与学习,文具与书本,5,eraser,n.,橡皮,,,
第1天,学校与学习,文具与书本,6,bag,n.,包,,,
第1天,学校与学习,文具与书本,7,desk,n.,课桌,,,
第1天,学校与学习,文具与书本,8,chair,n.,椅子,,,
第1天,学校与学习,文具与书本,9,paper,n.,纸,,,
第1天,学校与学习,文具与书本,10,schoolbag,n.,书包,,,
第1天,学校与学习,学科与课程,1,Chinese,n.,语文,,,
第1天,学校与学习,学科与课程,2,English,n.,英语,,,
第1天,学校与学习,学科与课程,3,math(s),n.,数学,,,
第1天,学校与学习,学科与课程,4,science,n.,科学,,,
第1天,学校与学习,学科与课程,5,art,n.,美术,,,
第1天,学校与学习,学科与课程,6,music,n.,音乐,,,
第1天,学校与学习,学科与课程,7,PE,n.,体育,,,
第1天,学校与学习,学科与课程,8,history,n.,历史,,,
第1天,学校与学习,学科与课程,9,lesson,n.,课,,,
第1天,学校与学习,学科与课程,10,class,n.,班级；课,,,
第1天,学校与学习,学习动作,1,read,v.,读,,,
第1天,学校与学习,学习动作,2,write,v.,写,,,
第1天,学校与学习,学习动作,3,listen,v.,听,,,
第1天,学校与学习,学习动作,4,speak,v.,说,,,
第1天,学校与学习,学习动作,5,learn,v.,学习,,,
第1天,学校与学习,学习动作,6,study,v.,学习；研究,,,
第1天,学校与学习,学习动作,7,draw,v.,画,,,
第1天,学校与学习,学习动作,8,sing,v.,唱歌,,,
第1天,学校与学习,学习动作,9,count,v.,数数,,,
第1天,学校与学习,学习动作,10,answer,v.,回答,,,
第1天,学校与学习,考试与评价,1,test,n.,测试,,,
第1天,学校与学习,考试与评价,2,exam,n.,考试,,,
第1天,学校与学习,考试与评价,3,question,n.,问题,,,
第1天,学校与学习,考试与评价,4,result,n.,结果,,,
第1天,学校与学习,考试与评价,5,homework,n.,作业,,,
第1天,学校与学习,考试与评价,6,exercise,n.,练习,,,
第1天,学校与学习,考试与评价,7,grade,n.,年级；分数,,,
第1天,学校与学习,考试与评价,8,score,n.,分数,,,
第1天,学校与学习,考试与评价,9,word,n.,单词,,,
第1天,学校与学习,考试与评价,10,sentence,n.,句子,,,
第1天,学校与学习,师生与同学,1,teacher,n.,老师,,,
第1天,学校与学习,师生与同学,2,student,n.,学生,,,
第1天,学校与学习,师生与同学,3,pupil,n.,小学生,,,
第1天,学校与学习,师生与同学,4,classmate,n.,同学,,,
第1天,学校与学习,师生与同学,5,friend,n.,朋友,,,
第1天,学校与学习,师生与同学,6,headmaster,n.,校长,,,
第1天,学校与学习,师生与同学,7,group,n.,小组,,,
第1天,学校与学习,师生与同学,8,team,n.,队,,,
第1天,学校与学习,师生与同学,9,name,n.,名字,,,
第1天,学校与学习,师生与同学,10,age,n.,年龄,,,
第2天,家庭与人物,家庭成员,1,father,n.,爸爸,,,
第2天,家庭与人物,家庭成员,2,mother,n.,妈妈,,,
第2天,家庭与人物,家庭成员,3,parent,n.,父母,,,
第2天,家庭与人物,家庭成员,4,brother,n.,兄弟,,,
第2天,家庭与人物,家庭成员,5,sister,n.,姐妹,,,
第2天,家庭与人物,家庭成员,6,grandfather,n.,爷爷/外公,,,
第2天,家庭与人物,家庭成员,7,grandmother,n.,奶奶/外婆,,,
第2天,家庭与人物,家庭成员,8,uncle,n.,叔叔,,,
第2天,家庭与人物,家庭成员,9,aunt,n.,阿姨,,,
第2天,家庭与人物,家庭成员,10,family,n.,家庭,,,
第2天,家庭与人物,职业,1,doctor,n.,医生,,,
第2天,家庭与人物,职业,2,nurse,n.,护士,,,
第2天,家庭与人物,职业,3,worker,n.,工人,,,
第2天,家庭与人物,职业,4,farmer,n.,农民,,,
第2天,家庭与人物,职业,5,driver,n.,司机,,,
第2天,家庭与人物,职业,6,policeman,n.,警察,,,
第2天,家庭与人物,职业,7,soldier,n.,士兵,,,
第2天,家庭与人物,职业,8,chef,n.,厨师,,,
第2天,家庭与人物,职业,9,actor,n.,演员,,,
第2天,家庭与人物,职业,10,singer,n.,歌手,,,
第2天,家庭与人物,身体部位,1,head,n.,头,,,
第2天,家庭与人物,身体部位,2,face,n.,脸,,,
第2天,家庭与人物,身体部位,3,eye,n.,眼睛,,,
第2天,家庭与人物,身体部位,4,ear,n.,耳朵,,,
第2天,家庭与人物,身体部位,5,nose,n.,鼻子,,,
第2天,家庭与人物,身体部位,6,mouth,n.,嘴,,,
第2天,家庭与人物,身体部位,7,hand,n.,手,,,
第2天,家庭与人物,身体部位,8,foot,n.,脚,,,
第2天,家庭与人物,身体部位,9,arm,n.,手臂,,,
第2天,家庭与人物,身体部位,10,leg,n.,腿,,,
第2天,家庭与人物,动作动词①,1,run,v.,跑,,,
第2天,家庭与人物,动作动词①,2,walk,v.,走,,,
第2天,家庭与人物,动作动词①,3,jump,v.,跳,,,
第2天,家庭与人物,动作动词①,4,swim,v.,游泳,,,
第2天,家庭与人物,动作动词①,5,play,v.,玩；打,,,
第2天,家庭与人物,动作动词①,6,fly,v.,飞,,,
第2天,家庭与人物,动作动词①,7,sit,v.,坐,,,
第2天,家庭与人物,动作动词①,8,stand,v.,站,,,
第2天,家庭与人物,动作动词①,9,sleep,v.,睡觉,,,
第2天,家庭与人物,动作动词①,10,eat,v.,吃,,,
第2天,家庭与人物,动作动词②,1,drink,v.,喝,,,
第2天,家庭与人物,动作动词②,2,look,v.,看,,,
第2天,家庭与人物,动作动词②,3,see,v.,看见,,,
第2天,家庭与人物,动作动词②,4,watch,v.,观看,,,
第2天,家庭与人物,动作动词②,5,open,v.,打开,,,
第2天,家庭与人物,动作动词②,6,close,v.,关上,,,
第2天,家庭与人物,动作动词②,7,put,v.,放,,,
第2天,家庭与人物,动作动词②,8,give,v.,给,,,
第2天,家庭与人物,动作动词②,9,take,v.,拿,,,
第2天,家庭与人物,动作动词②,10,help,v.,帮助,,,
第2天,家庭与人物,人称与称呼,1,boy,n.,男孩,,,
第2天,家庭与人物,人称与称呼,2,girl,n.,女孩,,,
第2天,家庭与人物,人称与称呼,3,man,n.,男人,,,
第2天,家庭与人物,人称与称呼,4,woman,n.,女人,,,
第2天,家庭与人物,人称与称呼,5,people,n.,人们,,,
第2天,家庭与人物,人称与称呼,6,child,n.,孩子,,,
第2天,家庭与人物,人称与称呼,7,baby,n.,婴儿,,,
第2天,家庭与人物,人称与称呼,8,Mr,n.,先生,,,
