"题号","语法点","所属单元","题目","你的答案","正确答案","是否答对"
"1","一般过去时","八上 U1","I ___ a great time at the beach last summer.","A","A","对"
"2","一般过去时","八上 U1","She ___ her homework two hours ago.","B","B","对"
"3","不定代词","八上 U1","I'm hungry. Is there ___ to eat?","B","B","对"
"4","不定代词","八上 U1","There is ___ wrong with my computer. It doesn't work.","A","A","对"
"5","情态动词 can/could 请求","八上 U2","___ you help me carry this box, please?","A","A","对"
"6","情态动词 can/could 请求","八上 U2","Excuse me, ___ I use your phone for a moment?","A","A","对"
"7","比较级 + as...as","八上 U3","This movie is ___ than that one.","B","B","对"
"8","比较级 + as...as","八上 U3","Tom is ___ as his brother.","A","A","对"
"9","最高级","八上 U4","Mount Qomolangma is ___ mountain in the world.","A","A","对"
"10","最高级","八上 U4","This is ___ book of the three.","C","C","对"
"11","感叹句","八上 U5","___ beautiful the flowers are!","A","A","对"
"12","感叹句","八上 U5","___ a clever boy he is!","A","C","错"
"13","不可数名词","八上 U5","There isn't ___ milk in the glass.","A","A","对"
"14","不可数名词","八上 U5","Would you like ___ tea?","B","A","错"
"15","be going to","八上 U6","Look at the clouds! It ___ rain.","A","A","对"
"16","be going to","八上 U6","We ___ visit the museum this weekend.","A","A","对"
"17","will 将来时","八上 U7","I think it ___ be sunny tomorrow.","A","A","对"
"18","will 将来时","八上 U7","They ___ a party next Saturday.","A","A","对"
"19","if 条件句","八上 U8","If it ___ tomorrow, we'll stay at home.","A","A","对"
"20","if 条件句","八上 U8","You'll be late ___ you don't hurry.","A","A","对"
"21","动词不定式","八下 U1","She went to the library ___ some books.","A","A","对"
"22","动词不定式","八下 U1","He decided ___ a new hobby.","A","A","对"
"23","spend/cost/take/pay","八下 U1","I ___ two hours finishing the report.","C","A","错"
"24","spend/cost/take/pay","八下 U1","This dictionary ___ me 50 yuan.","A","A","对"
"25","It's adj for/of sb to do","八下 U1","It's very kind ___ you to help me.","B","A","错"
"26","It's adj for/of sb to do","八下 U1","It's important ___ us to learn English well.","A","A","对"
"27","主谓一致","八下 U1","The number of students in our class ___ 45.","A","A","对"
"28","主谓一致","八下 U1","Maths ___ my favorite subject.","A","A","对"
"29","情态动词 should/could/had better","八下 U2","You look tired. You ___ go to bed earlier.","A","A","对"
"30","情态动词 should/could/had better","八下 U2","You'd better ___ so much junk food.","C","A","错"
"31","反身代词","八下 U2","She taught ___ English.","B","A","错"
"32","反身代词","八下 U2","Help ___ to some fish, children!","A","A","对"
"33","stop doing/to do 辨析","八下 U2","Stop ___! The teacher is coming.","A","A","对"
"34","stop doing/to do 辨析","八下 U2","He was tired, so he stopped ___ a rest.","A","A","对"
"35","状语从句 although/until/so that","八下 U3","___ he is old, he works very hard.","A","A","对"
"36","状语从句 although/until/so that","八下 U3","I'll wait ___ he comes back.","A","A","对"
"37","数词 / 大数表达","八下 U4","There are about ___ students in our school.","D","A","错"
"38","数词 / 大数表达","八下 U4","___ of the workers are from the south.","B","A","错"
"39","过去进行时","八下 U5","I ___ TV when my father came back.","A","A","对"
"40","过去进行时","八下 U5","At that time yesterday, they ___ a meeting.","A","A","对"
"41","宾语从句","八下 U6","I don't know ___ he will come tomorrow.","A","A","对"
"42","宾语从句","八下 U6","Could you tell me ___ the bank is?","A","A","对"
"43","现在完成时（基础）","八下 U7","I ___ the book already.","A","A","对"
"44","现在完成时（基础）","八下 U7","She ___ to Shanghai twice.","A","A","对"
"45","现在完成时 for/since","八下 U8","He has lived here ___ 2020.","A","A","对"
"46","现在完成时 for/since","八下 U8","I have learned English ___ five years.","A","A","对"
"47","被动语态（基础）","八下 U8","English ___ in many countries.","D","A","错"
"48","被动语态（基础）","八下 U8","The room ___ every day.","A","A","对"
"49","祈使句 + 礼貌用语综合","八上 U2","___ the door, please.","A","A","对"
"50","祈使句 + 礼貌用语综合","八上 U2","___ late for school again.","A","A","对"

"语法点","单元","得分率","掌握","错题数"
"一般过去时","八上 U1","100%","强",""
"不定代词","八上 U1","100%","强",""
"情态动词 can/could 请求","八上 U2","100%","强",""
"比较级 + as...as","八上 U3","100%","强",""
"最高级","八上 U4","100%","强",""
"感叹句","八上 U5","50%","强","1"
"不可数名词","八上 U5","50%","强","1"
"be going to","八上 U6","100%","强",""
"will 将来时","八上 U7","100%","强",""
"if 条件句","八上 U8","100%","强",""
"动词不定式","八下 U1","100%","强",""
"spend/cost/take/pay","八下 U1","50%","强","1"
"It's adj for/of sb to do","八下 U1","50%","强","1"
"主谓一致","八下 U1","100%","强",""
"情态动词 should/could/had better","八下 U2","50%","强","1"
"反身代词","八下 U2","50%","强","1"
"stop doing/to do 辨析","八下 U2","100%","强",""
"状语从句 although/until/so that","八下 U3","100%","强",""
"数词 / 大数表达","八下 U4","0%","弱","2"
"过去进行时","八下 U5","100%","强",""
"宾语从句","八下 U6","100%","强",""
"现在完成时（基础）","八下 U7","100%","强",""
"现在完成时 for/since","八下 U8","100%","强",""
"被动语态（基础）","八下 U8","50%","强","1"
"祈使句 + 礼貌用语综合","八上 U2","100%","强",""
