课次,大组主题,小组,序号,单词,词性,释义,认识(打✓),不认识(打✗),备注
第1课,学校生活与学习,校园场所与设施,1,school,n.,学校,,,
第1课,学校生活与学习,校园场所与设施,2,classroom,n.,教室,,,
第1课,学校生活与学习,校园场所与设施,3,library,n.,图书馆,,,
第1课,学校生活与学习,校园场所与设施,4,playground,n.,操场,,,
第1课,学校生活与学习,校园场所与设施,5,office,n.,办公室,,,
第1课,学校生活与学习,校园场所与设施,6,laboratory,n.,实验室,,,
第1课,学校生活与学习,校园场所与设施,7,canteen,n.,食堂,,,
第1课,学校生活与学习,校园场所与设施,8,dormitory,n.,宿舍,,,
第1课,学校生活与学习,校园场所与设施,9,gym,n.,体育馆,,,
第1课,学校生活与学习,校园场所与设施,10,hall,n.,大厅,,,
第1课,学校生活与学习,校园场所与设施,11,campus,n.,校园,,,
第1课,学校生活与学习,校园场所与设施,12,gate,n.,大门,,,
第1课,学校生活与学习,校园场所与设施,13,building,n.,建筑物,,,
第1课,学校生活与学习,校园场所与设施,14,floor,n.,楼层,,,
第1课,学校生活与学习,校园场所与设施,15,desk,n.,课桌,,,
第1课,学校生活与学习,校园场所与设施,16,blackboard,n.,黑板,,,
第1课,学校生活与学习,校园场所与设施,17,computer,n.,电脑,,,
第1课,学校生活与学习,校园场所与设施,18,screen,n.,屏幕,,,
第1课,学校生活与学习,校园场所与设施,19,poster,n.,海报,,,
第1课,学校生活与学习,校园场所与设施,20,notice,n.,通知,,,
第1课,学校生活与学习,学习用品与书本,1,book,n.,书,,,
第1课,学校生活与学习,学习用品与书本,2,textbook,n.,课本,,,
第1课,学校生活与学习,学习用品与书本,3,notebook,n.,笔记本,,,
第1课,学校生活与学习,学习用品与书本,4,dictionary,n.,词典,,,
第1课,学校生活与学习,学习用品与书本,5,pen,n.,钢笔,,,
第1课,学校生活与学习,学习用品与书本,6,pencil,n.,铅笔,,,
第1课,学校生活与学习,学习用品与书本,7,ruler,n.,尺子,,,
第1课,学校生活与学习,学习用品与书本,8,eraser,n.,橡皮,,,
第1课,学校生活与学习,学习用品与书本,9,bag,n.,书包,,,
第1课,学校生活与学习,学习用品与书本,10,paper,n.,纸,,,
第1课,学校生活与学习,学习用品与书本,11,card,n.,卡片,,,
第1课,学校生活与学习,学习用品与书本,12,map,n.,地图,,,
第1课,学校生活与学习,学习用品与书本,13,picture,n.,图画,,,
第1课,学校生活与学习,学习用品与书本,14,photo,n.,照片,,,
第1课,学校生活与学习,学习用品与书本,15,letter,n.,信,,,
第1课,学校生活与学习,学习用品与书本,16,magazine,n.,杂志,,,
第1课,学校生活与学习,学习用品与书本,17,newspaper,n.,报纸,,,
第1课,学校生活与学习,学习用品与书本,18,novel,n.,小说,,,
第1课,学校生活与学习,学习用品与书本,19,article,n.,文章,,,
第1课,学校生活与学习,学习用品与书本,20,diary,n.,日记,,,
第1课,学校生活与学习,学科与课程,1,subject,n.,科目,,,
第1课,学校生活与学习,学科与课程,2,lesson,n.,课,,,
第1课,学校生活与学习,学科与课程,3,course,n.,课程,,,
第1课,学校生活与学习,学科与课程,4,class,n.,班级/课,,,
第1课,学校生活与学习,学科与课程,5,math,n.,数学,,,
第1课,学校生活与学习,学科与课程,6,physics,n.,物理,,,
第1课,学校生活与学习,学科与课程,7,chemistry,n.,化学,,,
第1课,学校生活与学习,学科与课程,8,biology,n.,生物,,,
第1课,学校生活与学习,学科与课程,9,geography,n.,地理,,,
第1课,学校生活与学习,学科与课程,10,history,n.,历史,,,
第1课,学校生活与学习,学科与课程,11,art,n.,美术,,,
第1课,学校生活与学习,学科与课程,12,music,n.,音乐,,,
第1课,学校生活与学习,学科与课程,13,science,n.,科学,,,
第1课,学校生活与学习,学科与课程,14,language,n.,语言,,,
第1课,学校生活与学习,学科与课程,15,English,n.,英语,,,
第1课,学校生活与学习,学科与课程,16,Chinese,n.,语文,,,
第1课,学校生活与学习,学科与课程,17,foreign,adj.,外国的,,,
第1课,学校生活与学习,学科与课程,18,exam,n.,考试,,,
第1课,学校生活与学习,学科与课程,19,test,n.,测验,,,
第1课,学校生活与学习,学科与课程,20,quiz,n.,小测验,,,
第1课,学校生活与学习,学习动作与技能,1,study,v.,学习,,,
第1课,学校生活与学习,学习动作与技能,2,learn,v.,学会,,,
第1课,学校生活与学习,学习动作与技能,3,teach,v.,教,,,
第1课,学校生活与学习,学习动作与技能,4,read,v.,读,,,
第1课,学校生活与学习,学习动作与技能,5,write,v.,写,,,
第1课,学校生活与学习,学习动作与技能,6,listen,v.,听,,,
第1课,学校生活与学习,学习动作与技能,7,speak,v.,说,,,
第1课,学校生活与学习,学习动作与技能,8,practice,v.,练习,,,
第1课,学校生活与学习,学习动作与技能,9,review,v.,复习,,,
第1课,学校生活与学习,学习动作与技能,10,memorize,v.,记忆,,,
第1课,学校生活与学习,学习动作与技能,11,understand,v.,理解,,,
第1课,学校生活与学习,学习动作与技能,12,explain,v.,解释,,,
第1课,学校生活与学习,学习动作与技能,13,answer,v.,回答,,,
第1课,学校生活与学习,学习动作与技能,14,ask,v.,问,,,
第1课,学校生活与学习,学习动作与技能,15,question,n.,问题,,,
第1课,学校生活与学习,学习动作与技能,16,solve,v.,解决,,,
第1课,学校生活与学习,学习动作与技能,17,complete,v.,完成,,,
第1课,学校生活与学习,学习动作与技能,18,finish,v.,结束,,,
第1课,学校生活与学习,学习动作与技能,19,improve,v.,提高,,,
第1课,学校生活与学习,学习动作与技能,20,master,v.,掌握,,,
第1课,学校生活与学习,考试与评价,1,grade,n.,分数/年级,,,
第1课,学校生活与学习,考试与评价,2,mark,n.,分数,,,
第1课,学校生活与学习,考试与评价,3,score,n.,得分,,,
第1课,学校生活与学习,考试与评价,4,result,n.,结果,,,
第1课,学校生活与学习,考试与评价,5,pass,v.,通过,,,
第1课,学校生活与学习,考试与评价,6,fail,v.,失败,,,
第1课,学校生活与学习,考试与评价,7,mistake,n.,错误,,,
第1课,学校生活与学习,考试与评价,8,error,n.,差错,,,
第1课,学校生活与学习,考试与评价,9,correct,adj.,正确的,,,
第1课,学校生活与学习,考试与评价,10,wrong,adj.,错误的,,,
第1课,学校生活与学习,考试与评价,11,check,v.,检查,,,
第1课,学校生活与学习,考试与评价,12,compare,v.,比较,,,
第1课,学校生活与学习,考试与评价,13,progress,n.,进步,,,
第1课,学校生活与学习,考试与评价,14,achievement,n.,成就,,,
第1课,学校生活与学习,考试与评价,15,level,n.,水平,,,
第1课,学校生活与学习,考试与评价,16,standard,n.,标准,,,
第1课,学校生活与学习,考试与评价,17,target,n.,目标,,,
第1课,学校生活与学习,考试与评价,18,goal,n.,目标,,,
第1课,学校生活与学习,考试与评价,19,effort,n.,努力,,,
第1课,学校生活与学习,考试与评价,20,ability,n.,能力,,,
第2课,家庭与人际关系,家庭成员,1,family,n.,家庭,,,
第2课,家庭与人际关系,家庭成员,2,parent,n.,父母,,,
第2课,家庭与人际关系,家庭成员,3,father,n.,父亲,,,
第2课,家庭与人际关系,家庭成员,4,mother,n.,母亲,,,
第2课,家庭与人际关系,家庭成员,5,brother,n.,兄弟,,,
第2课,家庭与人际关系,家庭成员,6,sister,n.,姐妹,,,
第2课,家庭与人际关系,家庭成员,7,grandparent,n.,祖父母,,,
第2课,家庭与人际关系,家庭成员,8,grandfather,n.,祖父,,,
第2课,家庭与人际关系,家庭成员,9,grandmother,n.,祖母,,,
第2课,家庭与人际关系,家庭成员,10,uncle,n.,叔叔,,,
第2课,家庭与人际关系,家庭成员,11,aunt,n.,阿姨,,,
第2课,家庭与人际关系,家庭成员,12,cousin,n.,表亲,,,
第2课,家庭与人际关系,家庭成员,13,son,n.,儿子,,,
第2课,家庭与人际关系,家庭成员,14,daughter,n.,女儿,,,
第2课,家庭与人际关系,家庭成员,15,child,n.,孩子,,,
第2课,家庭与人际关系,家庭成员,16,baby,n.,婴儿,,,
